Datetime,Resolution code,Elia Grid Load
2025-04-01T23:45:00+02:00,PT15M,6229.175
2025-04-01T23:30:00+02:00,PT15M,6238.864
2025-04-01T23:15:00+02:00,PT15M,6539.466
2025-04-01T23:00:00+02:00,PT15M,6613.139
2025-04-01T22:45:00+02:00,PT15M,6617.617
2025-04-01T22:30:00+02:00,PT15M,6770.467
2025-04-01T22:15:00+02:00,PT15M,6793.505
2025-04-01T22:00:00+02:00,PT15M,6981.133
2025-04-01T21:45:00+02:00,PT15M,7020.097
2025-04-01T21:30:00+02:00,PT15M,7095.298
2025-04-01T21:15:00+02:00,PT15M,7300.609
2025-04-01T21:00:00+02:00,PT15M,7471.696
2025-04-01T20:45:00+02:00,PT15M,7546.891
2025-04-01T20:30:00+02:00,PT15M,7650.562
2025-04-01T20:15:00+02:00,PT15M,7506.119
2025-04-01T20:00:00+02:00,PT15M,7346.549
2025-04-01T19:45:00+02:00,PT15M,7085.53
2025-04-01T19:30:00+02:00,PT15M,6905.283
2025-04-01T19:15:00+02:00,PT15M,6779.456
2025-04-01T19:00:00+02:00,PT15M,6404.267
2025-04-01T18:45:00+02:00,PT15M,5877.169
2025-04-01T18:30:00+02:00,PT15M,5610.856
2025-04-01T18:15:00+02:00,PT15M,5121.683
2025-04-01T18:00:00+02:00,PT15M,4594.921
2025-04-01T17:45:00+02:00,PT15M,3937.651
2025-04-01T17:30:00+02:00,PT15M,3690.642
2025-04-01T17:15:00+02:00,PT15M,3394.713
2025-04-01T17:00:00+02:00,PT15M,2860.346
2025-04-01T16:45:00+02:00,PT15M,2323.601
2025-04-01T16:30:00+02:00,PT15M,2209.308
2025-04-01T16:15:00+02:00,PT15M,2026.09
2025-04-01T16:00:00+02:00,PT15M,2002.57
2025-04-01T15:45:00+02:00,PT15M,1711.836
2025-04-01T15:30:00+02:00,PT15M,1574.424
2025-04-01T15:15:00+02:00,PT15M,1443.498
2025-04-01T15:00:00+02:00,PT15M,1200.056
2025-04-01T14:45:00+02:00,PT15M,1092.174
2025-04-01T14:30:00+02:00,PT15M,958.587
